Application,Pointers,Void Pointers,Uninitialized Pointers,Smart Pointers,Mallocs,Frees,Implicit Casts from Malloc,Unsafe Functions,Unsafe Casts,Construct from Implicit Cast,Unions,Ref Class Members,Ref Returns,Ref Const Returns,Ref to Deref,Address of Array,2D Arrays
,642,101,525,0,2,1,1,23,79,279,7,9,192,47,7,1,11
,345,54,309,0,2,1,1,8,29,25,5,9,162,42,0,1,11
,677,351,675,0,1,1,0,0,16890,0,1,0,0,0,0,0,0
,710,361,710,0,1,1,0,0,16893,0,1,0,0,0,0,0,0
,1339,501,1200,5,5,5,1,5,17535,56,14,10,276,36,6,2,5
,713,367,712,0,1,1,0,0,16891,0,1,0,6,5,0,0,0
,1116,420,1034,0,5,5,1,12,16928,55,8,11,280,87,2,8,11
,1135,425,1053,0,5,6,1,28,16935,156,10,15,277,81,8,8,11
,1368,454,1218,16,5,5,1,9,16996,269,11,8,394,66,7,9,5
,1379,454,1219,9,5,5,1,9,17001,208,11,10,346,63,7,9,5
,416,66,367,2,2,2,1,3,36,44,6,5,164,36,0,2,0
,1412,470,1240,0,5,5,1,31,17006,198,10,11,299,84,9,8,11
,1468,461,1296,20,5,5,1,9,16996,252,11,8,417,68,7,9,5
,1412,470,1242,0,5,5,1,31,16985,223,10,11,299,84,9,8,11
,1403,454,1236,26,5,5,1,9,17012,297,11,8,387,67,7,9,5
,1211,460,1110,0,5,5,1,19,16947,146,4,1,112,23,7,0,0
,1593,511,1402,34,5,5,1,9,17557,242,14,9,459,68,7,9,5
,1420,499,1273,4,5,5,1,5,17539,163,15,8,311,39,8,2,5
,1370,454,1220,16,5,5,1,9,16996,270,11,8,383,66,7,9,5
,1664,478,1399,8,5,6,1,19,17052,295,19,26,521,94,7,9,5
,1401,499,1255,6,5,6,1,4,17515,52,15,12,285,44,6,2,5
,1455,462,1290,6,5,5,1,9,16987,164,11,8,377,63,7,9,5
,1461,470,1300,6,5,5,1,9,16986,168,11,8,376,63,7,11,5
,597,106,465,0,4,4,1,22,80,157,3,3,114,27,7,0,0
,1564,478,1348,7,5,5,1,9,17013,199,15,26,427,81,7,9,5
,345,54,309,0,2,1,1,7,29,29,5,9,164,42,0,1,11
,1519,510,1331,5,5,6,1,27,17521,81,17,19,430,94,8,10,16
,535,97,434,0,2,1,1,20,67,149,3,1,108,22,7,0,0
,1450,462,1284,6,5,5,1,9,16987,168,11,8,378,64,7,9,5
,1556,478,1341,7,5,5,1,9,17012,208,15,26,425,80,7,9,5
,1609,478,1381,9,5,5,1,9,17016,209,15,27,473,82,7,9,5
,1561,479,1342,7,5,5,1,9,17023,343,15,27,425,80,7,9,5
,698,361,694,0,1,1,0,0,16926,0,1,0,0,0,0,0,0
,709,126,527,0,4,7,1,26,98,324,7,11,198,40,7,0,0
,27,8,27,0,0,0,0,3,0,0,0,0,0,0,0,0,0
,18,10,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0
,721,118,591,1,4,4,1,21,70,174,8,5,209,47,7,3,0
,1423,458,1236,1,4,6,1,41,16041,187,9,15,274,89,12,8,11
,1672,478,1405,9,5,6,1,19,17049,282,19,27,518,94,7,9,5
,367,68,321,1,4,4,1,4,31,26,7,1,164,29,6,0,0
,66,18,63,0,0,0,0,0,9,15,0,0,14,7,0,0,0
,176,36,151,0,2,3,0,2,22,26,0,3,19,15,0,0,0
,1667,478,1400,10,5,6,1,19,17054,289,19,30,510,94,7,9,5
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,333,58,303,0,2,1,1,6,29,15,5,1,152,28,0,2,0
,476,82,421,2,4,5,1,7,33,50,7,9,174,45,6,1,11
,481,93,430,2,4,5,1,5,34,34,7,3,167,32,6,3,0
,635,112,539,3,4,5,1,10,73,119,9,10,198,48,6,3,16
,1665,478,1399,8,5,6,1,19,17048,271,19,26,510,94,9,9,5
,1707,478,1433,12,5,6,1,19,17049,272,19,26,530,96,7,9,5
,368,50,319,5,2,1,1,3,33,9,6,5,177,37,0,0,0
,1671,479,1402,8,6,7,1,19,17050,287,19,26,518,94,7,9,5
,595,98,495,1,4,4,1,4,53,35,10,10,223,41,6,4,5
,1828,532,1531,14,5,6,1,22,17614,290,22,37,558,108,7,10,16
,1828,528,1533,14,5,6,1,19,17610,275,22,27,565,96,7,9,5
,589,96,495,1,4,4,1,4,54,36,10,10,224,42,6,4,5
,352,54,315,0,2,1,1,7,29,21,5,9,168,44,0,1,11
,67,19,63,0,0,0,0,0,9,1,2,0,30,12,0,0,0
,544,86,452,1,4,4,1,4,52,24,10,9,214,42,6,2,5
,467,86,393,0,4,4,1,4,47,18,9,6,220,35,6,2,5
,1569,480,1341,1,4,6,1,82,16075,345,9,19,318,89,12,10,11
,27,13,27,0,0,0,0,0,0,2,0,0,3,0,0,0,0
,354,54,315,0,2,1,1,9,29,24,5,9,168,44,0,1,11
,602,100,506,1,4,4,1,5,53,28,10,10,224,43,6,5,5
,71,19,67,0,0,0,0,0,9,1,2,0,27,12,0,0,0
,66,18,63,0,0,0,0,0,9,0,0,0,10,7,0,0,0
,16,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10,1,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,298,48,268,0,2,1,1,4,28,10,5,1,154,29,0,0,0
,505,94,422,2,4,4,1,4,47,23,9,8,213,42,6,4,5
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,72,18,68,0,0,0,0,0,9,2,0,0,15,9,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,298,48,268,0,2,1,1,4,28,11,5,1,155,27,0,0,0
,1664,478,1399,8,5,6,1,19,17048,271,19,26,510,94,7,9,5
,73,22,72,0,0,0,0,0,4,10,0,0,3,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,31,16,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0
,45,16,45,0,0,0,0,0,0,2,0,0,1,0,0,0,0
,258,66,201,1,2,3,0,1,37,9,4,4,68,18,6,2,5
,24,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,24,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,371,50,321,7,2,1,1,3,33,7,6,5,171,39,0,0,0
,18,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,499,86,418,1,4,4,1,4,48,22,9,6,214,36,6,2,5
,305,48,275,0,2,1,1,5,29,11,5,1,151,27,0,0,2
,397,50,346,5,2,1,1,4,34,18,6,5,181,37,0,0,0
,1738,482,1505,11,5,6,1,11,17026,379,20,18,419,78,7,12,5
,59,21,59,0,0,0,0,0,2,3,0,0,8,4,0,0,0
,433,56,376,6,2,1,1,5,35,22,6,5,190,45,0,1,0
,82,26,81,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,565,98,480,1,4,4,1,6,50,33,9,9,231,39,6,5,5
,356,54,320,0,2,1,1,7,29,26,5,9,162,42,0,1,11
,6,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,0
,522,101,416,0,4,4,1,4,57,40,10,7,225,37,6,2,5
,522,87,439,1,4,4,1,4,48,20,9,6,210,36,6,2,5
,33,8,33,0,0,0,0,2,0,0,0,0,0,0,0,2,2
,126,30,108,0,0,0,0,1,11,0,2,0,14,6,0,0,0
,76,18,73,0,0,0,0,0,11,8,0,0,18,9,0,0,0
,94,30,76,0,0,0,0,1,11,1,2,0,15,6,0,0,0
,24,10,24,0,0,0,0,0,1,4,0,0,1,0,0,0,0
,257,66,205,0,2,3,0,1,49,5,4,1,46,16,6,2,5
,27,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,312,51,273,0,2,1,1,4,29,19,7,1,154,28,0,0,0
,218,61,172,0,2,3,0,1,40,5,2,1,38,10,0,2,5
,177,43,139,0,0,0,0,1,27,23,8,1,42,11,8,0,0
