Application,Pointers,Void Pointers,Uninitialized Pointers,Smart Pointers,Mallocs,Frees,Implicit Casts from Malloc,Unsafe Functions,Unsafe Casts,Construct from Implicit Cast,Unions,Ref Class Members,Ref Returns,Ref Const Returns,Ref to Deref,Address of Array,2D Arrays
,15,0,6,0,0,1,0,20,0,1,0,1,0,0,0,0,0
,15,0,6,0,0,1,0,20,0,1,0,1,0,0,0,0,0
,2,0,2,0,0,1,0,20,0,0,0,0,0,0,0,0,0
,2,0,2,0,0,1,0,20,0,0,0,0,0,0,0,0,0
,5,0,2,0,0,0,0,0,3,6,0,0,0,0,0,1,0
,5,0,2,0,0,0,0,0,3,6,0,0,0,0,0,1,0
,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
,4,0,2,0,0,0,0,9,0,2,0,0,0,0,1,0,0
,4,0,2,0,0,0,0,9,0,2,0,0,0,0,1,0,0
,33,0,22,0,0,1,0,11,0,18,0,0,0,0,0,0,0
,33,0,22,0,0,1,0,11,0,18,0,0,0,0,0,0,0
,7,0,3,0,0,0,0,11,0,0,0,0,0,0,1,0,0
,7,0,3,0,0,0,0,11,0,0,0,0,0,0,1,0,0
,26,0,7,0,0,1,0,24,1,5,0,0,0,0,1,0,0
,26,0,7,0,0,1,0,24,1,5,0,0,0,0,1,0,0
,153,3,128,19,0,1,0,47,18,291,0,24,13,0,1,0,0
,153,3,128,19,0,1,0,47,18,291,0,24,13,0,1,0,0
,3,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0
,3,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0
,26,0,20,0,0,1,0,11,0,31,0,2,5,0,0,0,0
,26,0,20,0,0,1,0,11,0,31,0,2,5,0,0,0,0
,9,0,3,0,0,1,0,10,0,17,0,0,2,0,0,0,0
,9,0,3,0,0,1,0,10,0,17,0,0,2,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,28,0,9,0,0,1,0,10,0,16,0,7,3,0,1,0,0
,28,0,9,0,0,1,0,10,0,16,0,7,3,0,1,0,0
,82,0,32,0,0,6,0,25,0,35,0,27,7,4,0,0,0
,82,0,32,0,0,6,0,25,0,35,0,27,7,4,0,0,0
,38,0,24,0,0,1,0,12,0,3,0,1,0,1,3,0,0
,38,0,24,0,0,1,0,12,0,3,0,1,0,1,3,0,0
,12,0,3,0,0,0,0,10,0,7,0,0,0,0,0,0,0
,12,0,3,0,0,0,0,10,0,7,0,0,0,0,0,0,0
,5,0,1,0,0,2,0,21,0,1,0,0,0,0,0,0,0
,5,0,1,0,0,2,0,21,0,1,0,0,0,0,0,0,0
,9,0,8,0,0,2,0,20,0,3,0,0,1,1,0,0,0
,9,0,8,0,0,2,0,20,0,3,0,0,1,1,0,0,0
,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0
,12,0,3,0,0,1,0,23,0,64,0,0,3,10,0,0,0
,12,0,3,0,0,1,0,23,0,64,0,0,3,10,0,0,0
,21,0,17,0,0,0,0,9,0,107,0,3,0,0,0,0,0
,21,0,17,0,0,0,0,9,0,107,0,3,0,0,0,0,0
,327,0,159,8,0,1,0,14,0,207,0,18,14,0,15,0,0
,327,0,159,8,0,1,0,14,0,207,0,18,14,0,15,0,0
,92,0,52,2,0,1,0,11,0,63,0,0,0,0,1,0,0
,92,0,52,2,0,1,0,11,0,63,0,0,0,0,1,0,0
,12,0,8,1,0,1,0,17,0,28,0,1,2,0,1,0,0
,12,0,8,1,0,1,0,17,0,28,0,1,2,0,1,0,0
,18,0,10,1,0,2,0,21,0,1,0,2,0,0,0,0,0
,18,0,10,1,0,2,0,21,0,1,0,2,0,0,0,0,0
,22,0,8,0,0,1,0,23,0,60,0,8,13,0,0,0,0
,22,0,8,0,0,1,0,23,0,60,0,8,13,0,0,0,0
,60,0,26,2,0,1,0,12,25,80,0,0,1,0,10,0,0
,60,0,26,2,0,1,0,12,25,80,0,0,1,0,10,0,0
,9,0,5,0,0,0,0,1,0,8,0,0,0,0,0,0,0
,9,0,5,0,0,0,0,1,0,8,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0
,228,0,119,23,0,1,0,25,28,297,0,11,0,0,23,0,0
,228,0,119,23,0,1,0,25,28,297,0,11,0,0,23,0,0
,11,0,5,0,0,1,0,12,5,15,0,0,0,0,1,0,0
,11,0,5,0,0,1,0,12,5,15,0,0,0,0,1,0,0
,64,0,44,0,0,1,0,23,36,24,0,10,1,0,0,0,0
,64,0,44,0,0,1,0,23,36,24,0,10,1,0,0,0,0
,29,0,1,1,0,0,0,9,12,9,0,0,0,0,0,0,0
,29,0,1,1,0,0,0,9,12,9,0,0,0,0,0,0,0
,35,0,11,0,0,1,0,15,5,56,0,0,0,0,1,0,0
,35,0,11,0,0,1,0,15,5,56,0,0,0,0,1,0,0
,5,0,4,0,0,1,0,11,0,0,0,0,0,0,0,0,0
,5,0,4,0,0,1,0,11,0,0,0,0,0,0,0,0,0
,48,0,16,1,0,2,0,21,28,21,0,3,1,0,0,1,0
,48,0,16,1,0,2,0,21,28,21,0,3,1,0,0,1,0
,0,0,0,0,0,1,0,11,0,30,0,4,0,0,0,0,0
,0,0,0,0,0,1,0,11,0,30,0,4,0,0,0,0,0
,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,234,0,97,4,0,1,0,27,62,207,0,39,18,0,10,2,0
,234,0,97,4,0,1,0,27,62,207,0,39,18,0,10,2,0
,30,0,15,0,0,1,0,11,10,28,0,9,1,0,0,0,0
,30,0,15,0,0,1,0,11,10,28,0,9,1,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,28,0,15,0,0,1,0,19,0,58,0,5,3,3,1,0,0
,28,0,15,0,0,1,0,19,0,58,0,5,3,3,1,0,0
,8,0,3,0,0,1,0,14,0,8,0,0,0,0,0,0,0
,8,0,3,0,0,1,0,14,0,8,0,0,0,0,0,0,0
,47,0,18,0,0,1,0,11,0,38,0,1,2,0,1,0,0
,47,0,18,0,0,1,0,11,0,38,0,1,2,0,1,0,0
,28,0,13,0,0,2,0,28,0,0,0,0,3,0,0,0,0
,28,0,13,0,0,2,0,28,0,0,0,0,3,0,0,0,0
,55,0,19,0,0,1,0,34,0,21,0,1,1,0,0,0,0
,55,0,19,0,0,1,0,34,0,21,0,1,1,0,0,0,0
,2,0,1,0,0,0,0,11,0,24,0,0,1,0,0,0,0
,2,0,1,0,0,0,0,11,0,24,0,0,1,0,0,0,0
,3,0,3,0,0,1,0,10,0,3,0,0,0,0,0,0,0
,3,0,3,0,0,1,0,10,0,3,0,0,0,0,0,0,0
,16,0,7,0,0,1,0,11,0,20,0,0,0,0,0,0,0
,16,0,7,0,0,1,0,11,0,20,0,0,0,0,0,0,0
,6,0,2,0,0,1,0,22,0,6,0,0,0,0,0,0,0
,6,0,2,0,0,1,0,22,0,6,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,9,0,189,0,0,1,0,0,0,0
,0,0,0,0,0,0,0,9,0,189,0,0,1,0,0,0,0
,105,0,73,0,0,1,0,32,8,117,0,5,35,0,5,0,0
,105,0,73,0,0,1,0,32,8,117,0,5,35,0,5,0,0
,4,0,2,0,0,3,0,22,0,0,0,1,0,0,0,0,0
,4,0,2,0,0,3,0,22,0,0,0,1,0,0,0,0,0
,23,0,9,1,0,3,0,22,0,21,0,7,0,0,0,0,0
,23,0,9,1,0,3,0,22,0,21,0,7,0,0,0,0,0
,6,0,2,0,0,1,0,20,0,0,0,0,0,0,0,0,0
,6,0,2,0,0,1,0,20,0,0,0,0,0,0,0,0,0
,44,0,22,0,0,1,0,23,4,68,0,2,0,1,5,0,0
,44,0,22,0,0,1,0,23,4,68,0,2,0,1,5,0,0
,24,0,9,0,0,1,0,15,0,2,0,0,1,2,0,0,0
,24,0,9,0,0,1,0,15,0,2,0,0,1,2,0,0,0
,12,0,7,0,0,1,0,12,3,6,0,1,0,1,0,0,0
,12,0,7,0,0,1,0,12,3,6,0,1,0,1,0,0,0
,47,0,11,4,0,1,0,11,0,296,0,2,0,0,1,1,0
,47,0,11,4,0,1,0,11,0,296,0,2,0,0,1,1,0
,112,0,41,1,0,1,0,14,8,67,0,1,3,0,10,0,0
,112,0,41,1,0,1,0,14,8,67,0,1,3,0,10,0,0
,12,0,1,1,0,1,0,14,0,12,0,0,0,0,1,0,0
,12,0,1,1,0,1,0,14,0,12,0,0,0,0,1,0,0
,67,0,30,3,0,1,0,14,1,74,0,2,2,0,0,0,0
,67,0,30,3,0,1,0,14,1,74,0,2,2,0,0,0,0
,35,0,20,0,0,1,0,22,17,47,0,7,4,0,0,0,0
,35,0,20,0,0,1,0,22,17,47,0,7,4,0,0,0,0
,8,0,7,0,0,1,0,14,0,0,0,0,1,0,0,0,0
,8,0,7,0,0,1,0,14,0,0,0,0,1,0,0,0,0
,77,0,47,0,0,2,0,28,0,33,0,3,7,1,0,0,0
,77,0,47,0,0,2,0,28,0,33,0,3,7,1,0,0,0
,75,0,41,1,0,1,0,24,14,56,1,3,12,0,0,0,0
,75,0,41,1,0,1,0,24,14,56,1,3,12,0,0,0,0
,2,0,0,0,0,0,0,3,0,43,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,3,0,43,0,0,0,0,0,0,0
,14,0,14,0,0,0,0,0,2,57,0,0,1,1,0,0,0
,14,0,14,0,0,0,0,0,2,57,0,0,1,1,0,0,0
,0,0,0,2,0,2,0,12,0,0,0,0,1,0,0,0,0
,0,0,0,2,0,2,0,12,0,0,0,0,1,0,0,0,0
,10,0,5,0,0,1,0,12,0,0,0,0,0,0,1,0,0
,10,0,5,0,0,1,0,12,0,0,0,0,0,0,1,0,0
,12,0,6,1,0,1,0,12,0,24,0,2,2,0,0,0,0
,12,0,6,1,0,1,0,12,0,24,0,2,2,0,0,0,0
,25,0,14,0,0,1,0,12,1,27,0,9,9,5,0,0,0
,25,0,14,0,0,1,0,12,1,27,0,9,9,5,0,0,0
,16,0,4,0,0,2,0,21,0,7,0,1,3,0,0,0,0
,16,0,4,0,0,2,0,21,0,7,0,1,3,0,0,0,0
,2,0,1,0,0,1,0,20,0,0,0,4,0,0,0,0,0
,2,0,1,0,0,1,0,20,0,0,0,4,0,0,0,0,0
,77,0,45,1,0,5,0,24,0,66,0,26,7,1,1,0,0
,77,0,45,1,0,5,0,24,0,66,0,26,7,1,1,0,0
,31,0,11,0,0,1,0,23,1,98,0,8,4,1,1,0,0
,31,0,11,0,0,1,0,23,1,98,0,8,4,1,1,0,0
,9,0,3,0,0,1,0,12,2,16,0,0,3,0,0,0,0
,9,0,3,0,0,1,0,12,2,16,0,0,3,0,0,0,0
,8,0,2,0,0,1,0,20,2,15,0,0,5,0,0,0,0
,8,0,2,0,0,1,0,20,2,15,0,0,5,0,0,0,0
,29,0,17,0,0,1,0,12,0,865,0,3,4,0,0,0,0
,29,0,17,0,0,1,0,12,0,865,0,3,4,0,0,0,0
,21,0,12,0,0,1,0,20,0,22,0,0,0,0,0,0,0
,21,0,12,0,0,1,0,20,0,22,0,0,0,0,0,0,0
,16,0,3,0,0,1,0,11,0,1,0,0,0,0,0,0,0
,16,0,3,0,0,1,0,11,0,1,0,0,0,0,0,0,0
,3,0,0,1,0,1,0,20,0,27,0,3,0,0,0,0,0
,3,0,0,1,0,1,0,20,0,27,0,3,0,0,0,0,0
,12,0,4,0,0,1,0,22,0,0,0,0,0,0,1,0,0
,12,0,4,0,0,1,0,22,0,0,0,0,0,0,1,0,0
,5,0,3,0,0,1,0,20,0,0,0,5,0,0,0,0,0
,5,0,3,0,0,1,0,20,0,0,0,5,0,0,0,0,0
,0,0,0,0,0,2,0,28,0,0,0,0,1,0,0,0,0
,0,0,0,0,0,2,0,28,0,0,0,0,1,0,0,0,0
,54,0,40,18,0,1,0,12,12,118,0,5,0,0,0,0,0
,54,0,40,18,0,1,0,12,12,118,0,5,0,0,0,0,0
,0,0,0,0,0,1,0,11,0,8,0,0,0,0,0,0,0
,0,0,0,0,0,1,0,11,0,8,0,0,0,0,0,0,0
,79,0,40,0,0,2,0,30,11,95,0,24,10,2,1,0,0
,79,0,40,0,0,2,0,30,11,95,0,24,10,2,1,0,0
,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
,49,0,19,1,0,1,0,77,0,372,0,2,13,0,6,0,0
,49,0,19,1,0,1,0,77,0,372,0,2,13,0,6,0,0
,3,0,2,0,0,1,0,12,0,0,0,0,0,0,0,0,0
,3,0,2,0,0,1,0,12,0,0,0,0,0,0,0,0,0
,1,0,1,0,0,1,0,12,0,1,0,0,2,0,0,0,0
,1,0,1,0,0,1,0,12,0,1,0,0,2,0,0,0,0
,5,0,3,0,0,1,0,11,0,1,0,1,0,0,0,0,0
,5,0,3,0,0,1,0,11,0,1,0,1,0,0,0,0,0
,1,0,1,0,0,0,0,3,0,46,0,3,2,0,0,0,0
,1,0,1,0,0,0,0,3,0,46,0,3,2,0,0,0,0
,20,0,14,0,0,0,0,3,1,353,0,9,5,0,1,0,0
,20,0,14,0,0,0,0,3,1,353,0,9,5,0,1,0,0
,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,39,0,11,0,0,1,0,21,0,245,0,0,1,0,1,0,0
,39,0,11,0,0,1,0,21,0,245,0,0,1,0,1,0,0
,104,0,65,3,0,2,0,32,1,32,0,16,12,1,2,0,0
,104,0,65,3,0,2,0,32,1,32,0,16,12,1,2,0,0
,44,0,40,0,0,0,0,9,0,73,0,10,2,0,0,0,0
,44,0,40,0,0,0,0,9,0,73,0,10,2,0,0,0,0
,0,0,0,0,0,1,0,11,0,8,0,0,0,0,0,0,0
,0,0,0,0,0,1,0,11,0,8,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0
,15,0,7,0,0,1,0,11,0,19,0,1,0,0,1,0,0
,15,0,7,0,0,1,0,11,0,19,0,1,0,0,1,0,0
,50,0,34,6,0,3,0,22,0,335,0,36,7,2,1,0,0
,50,0,34,6,0,3,0,22,0,335,0,36,7,2,1,0,0
,380,0,238,8,0,15,0,36,3,213,0,94,8,0,8,0,0
,380,0,238,8,0,15,0,36,3,213,0,94,8,0,8,0,0
,87,0,28,4,0,1,0,30,1,55,0,12,0,0,0,0,0
,87,0,28,4,0,1,0,30,1,55,0,12,0,0,0,0,0
,0,0,0,1,0,0,0,1,1,9,0,0,1,0,0,0,0
,0,0,0,1,0,0,0,1,1,9,0,0,1,0,0,0,0
,3,0,3,2,0,0,0,1,0,61,0,0,3,0,0,0,0
,3,0,3,2,0,0,0,1,0,61,0,0,3,0,0,0,0
,157,0,75,14,0,12,0,29,18,417,0,5,4,0,2,0,0
,157,0,75,14,0,12,0,29,18,417,0,5,4,0,2,0,0
,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
,1,0,0,0,0,0,0,9,0,24,0,8,1,4,0,0,0
,1,0,0,0,0,0,0,9,0,24,0,8,1,4,0,0,0
,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
,21,0,12,0,0,1,0,29,0,46,0,21,4,0,0,0,0
,21,0,12,0,0,1,0,29,0,46,0,21,4,0,0,0,0
,69,0,37,0,0,2,0,22,1,28,0,5,8,8,0,0,0
,69,0,37,0,0,2,0,22,1,28,0,5,8,8,0,0,0
,41,0,18,0,0,4,0,15,0,82,0,4,1,0,2,0,0
,41,0,18,0,0,4,0,15,0,82,0,4,1,0,2,0,0
,19,0,6,0,0,2,0,21,1,53,0,5,4,0,0,0,0
,19,0,6,0,0,2,0,21,1,53,0,5,4,0,0,0,0
,39,0,23,0,0,1,0,12,0,0,0,4,0,0,3,0,0
,39,0,23,0,0,1,0,12,0,0,0,4,0,0,3,0,0
,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
,69,0,57,0,0,1,0,14,5,242,0,1,9,0,6,0,0
,69,0,57,0,0,1,0,14,5,242,0,1,9,0,6,0,0
,17,0,6,0,0,1,0,20,0,38,0,4,4,0,0,0,0
,17,0,6,0,0,1,0,20,0,38,0,4,4,0,0,0,0
,154,0,88,2,0,1,0,20,0,88,0,21,22,0,6,0,0
,154,0,88,2,0,1,0,20,0,88,0,21,22,0,6,0,0
,0,0,0,0,0,0,0,0,3,5,0,0,4,0,1,0,0
,0,0,0,0,0,0,0,0,3,5,0,0,4,0,1,0,0
,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
,0,0,0,0,0,1,0,11,0,2,0,0,0,0,0,0,0
,0,0,0,0,0,1,0,11,0,2,0,0,0,0,0,0,0
,15,0,0,0,0,1,0,10,0,14,0,0,0,0,0,0,0
,15,0,0,0,0,1,0,10,0,14,0,0,0,0,0,0,0
,17,0,5,0,0,2,0,14,0,11,0,0,1,1,0,0,0
,17,0,5,0,0,2,0,14,0,11,0,0,1,1,0,0,0
,5,0,5,0,0,1,0,10,0,1,0,0,0,0,1,0,0
,5,0,5,0,0,1,0,10,0,1,0,0,0,0,1,0,0
,60,0,43,0,0,2,0,28,0,6,0,1,2,0,0,0,0
,60,0,43,0,0,2,0,28,0,6,0,1,2,0,0,0,0
,31,0,18,0,0,1,0,12,0,4,0,1,0,0,3,0,0
,31,0,18,0,0,1,0,12,0,4,0,1,0,0,3,0,0
,59,0,41,0,0,1,0,11,0,28,0,0,0,0,1,0,0
,59,0,41,0,0,1,0,11,0,28,0,0,0,0,1,0,0
,7,0,4,0,0,1,0,10,0,6,0,0,2,0,0,0,0
,7,0,4,0,0,1,0,10,0,6,0,0,2,0,0,0,0
,21,0,5,0,0,0,0,20,0,8,0,0,2,0,0,0,0
,21,0,5,0,0,0,0,20,0,8,0,0,2,0,0,0,0
,11,0,6,0,0,1,0,15,0,1,0,0,0,1,0,0,0
,11,0,6,0,0,1,0,15,0,1,0,0,0,1,0,0,0
,70,0,30,0,0,1,0,11,0,27,0,2,0,3,2,0,0
,70,0,30,0,0,1,0,11,0,27,0,2,0,3,2,0,0
,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0
,5,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0
,5,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0
,21,0,19,0,0,0,0,5,17,788,0,0,0,0,0,0,0
,21,0,19,0,0,0,0,5,17,788,0,0,0,0,0,0,0
,106,3,57,1,2,2,0,28,88,27,0,0,2,1,0,1,0
,106,3,57,1,2,2,0,28,88,27,0,0,2,1,0,1,0
,75,4,55,0,0,0,0,19,30,59,0,5,1,0,0,0,0
,75,4,55,0,0,0,0,19,30,59,0,5,1,0,0,0,0
,6,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
,6,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
,49,0,15,0,0,0,0,14,16,0,0,0,0,0,0,0,0
,49,0,15,0,0,0,0,14,16,0,0,0,0,0,0,0,0
,69,0,34,0,0,0,0,27,8,24,0,0,2,0,0,0,0
,69,0,34,0,0,0,0,27,8,24,0,0,2,0,0,0,0
,6,0,1,0,0,0,0,6,12,0,0,0,1,0,0,0,0
,6,0,1,0,0,0,0,6,12,0,0,0,1,0,0,0,0
,57,0,33,0,0,0,0,0,21,0,0,0,0,0,0,0,0
,57,0,33,0,0,0,0,0,21,0,0,0,0,0,0,0,0
,65,52,27,0,1,1,0,2,22,2,0,0,2,0,0,0,0
,65,52,27,0,1,1,0,2,22,2,0,0,2,0,0,0,0
,119,5,95,0,0,0,0,6,37,20,0,0,0,0,0,0,0
,119,5,95,0,0,0,0,6,37,20,0,0,0,0,0,0,0
,25,0,4,0,0,2,0,23,0,2,0,0,0,0,0,0,0
,25,0,4,0,0,2,0,23,0,2,0,0,0,0,0,0,0
,0,0,0,0,0,1,0,12,0,17,0,2,3,0,0,0,0
,0,0,0,0,0,1,0,12,0,17,0,2,3,0,0,0,0
,28,0,9,0,0,1,0,23,0,20,0,0,0,0,0,0,0
,28,0,9,0,0,1,0,23,0,20,0,0,0,0,0,0,0
,8,0,2,1,0,4,0,15,0,6,0,0,0,0,0,0,0
,8,0,2,1,0,4,0,15,0,6,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0
,25,0,14,0,0,2,0,21,0,14,0,7,1,0,0,0,0
,25,0,14,0,0,2,0,21,0,14,0,7,1,0,0,0,0
,21,0,3,1,0,5,0,24,0,10,0,1,0,0,0,0,0
,21,0,3,1,0,5,0,24,0,10,0,1,0,0,0,0,0
,5,0,2,0,0,1,0,11,0,2,0,0,0,0,0,0,0
,5,0,2,0,0,1,0,11,0,2,0,0,0,0,0,0,0
,7,0,1,0,0,1,0,11,0,8,0,0,2,0,0,0,0
,7,0,1,0,0,1,0,11,0,8,0,0,2,0,0,0,0
,65,0,13,0,0,1,0,20,0,91,0,18,1,0,0,0,0
,65,0,13,0,0,1,0,20,0,91,0,18,1,0,0,0,0
,36,0,16,0,0,2,0,30,0,4,0,0,0,0,0,0,0
,36,0,16,0,0,2,0,30,0,4,0,0,0,0,0,0,0
,74,0,33,0,0,4,0,23,0,41,0,20,8,0,0,0,0
,74,0,33,0,0,4,0,23,0,41,0,20,8,0,0,0,0
,3,0,1,0,0,1,0,11,0,16,0,0,0,0,0,0,0
,3,0,1,0,0,1,0,11,0,16,0,0,0,0,0,0,0
,70,0,33,0,0,2,0,21,1,52,0,11,1,0,2,0,0
,70,0,33,0,0,2,0,21,1,52,0,11,1,0,2,0,0
,31,5,9,1,0,1,0,19,0,18,0,6,0,0,0,0,0
,31,5,9,1,0,1,0,19,0,18,0,6,0,0,0,0,0
,166,0,135,0,0,2,0,30,4,45,0,2,3,3,1,0,0
,166,0,135,0,0,2,0,30,4,45,0,2,3,3,1,0,0
,8,0,6,0,0,2,0,30,0,2,0,2,0,0,0,0,0
,8,0,6,0,0,2,0,30,0,2,0,2,0,0,0,0,0
,62,0,38,0,0,2,0,29,0,13,0,23,0,0,0,0,0
,62,0,38,0,0,2,0,29,0,13,0,23,0,0,0,0,0
,51,0,43,1,0,2,0,30,0,1,0,3,0,0,0,0,0
,51,0,43,1,0,2,0,30,0,1,0,3,0,0,0,0,0
,18,0,12,0,0,2,0,30,0,6,0,7,0,2,1,0,0
,18,0,12,0,0,2,0,30,0,6,0,7,0,2,1,0,0
,29,0,16,0,0,2,0,30,0,3,0,7,0,3,1,0,0
,29,0,16,0,0,2,0,30,0,3,0,7,0,3,1,0,0
,16,0,12,0,0,2,0,30,0,1,0,0,1,1,0,0,0
,16,0,12,0,0,2,0,30,0,1,0,0,1,1,0,0,0
,0,0,0,0,0,2,0,20,0,0,0,0,1,0,0,0,0
,0,0,0,0,0,2,0,20,0,0,0,0,1,0,0,0,0
,0,0,0,0,0,2,0,15,0,0,0,0,2,0,0,0,0
,0,0,0,0,0,2,0,15,0,0,0,0,2,0,0,0,0
,4,0,0,0,0,2,0,29,0,2,0,1,0,0,0,0,0
,4,0,0,0,0,2,0,29,0,2,0,1,0,0,0,0,0
,17,0,5,1,0,1,0,10,0,18,0,9,6,0,1,0,0
,17,0,5,1,0,1,0,10,0,18,0,9,6,0,1,0,0
,34,0,20,0,0,2,0,30,1,7,0,7,1,0,0,0,0
,34,0,20,0,0,2,0,30,1,7,0,7,1,0,0,0,0
,89,0,50,0,0,2,0,30,9,104,1,10,5,4,0,0,0
,89,0,50,0,0,2,0,30,9,104,1,10,5,4,0,0,0
,20,0,4,0,0,1,0,10,0,21,0,6,2,0,0,0,0
,20,0,4,0,0,1,0,10,0,21,0,6,2,0,0,0,0
,12,0,8,0,0,2,0,29,1,0,0,0,0,1,0,0,0
,12,0,8,0,0,2,0,29,1,0,0,0,0,1,0,0,0
,42,0,39,0,0,2,0,30,0,12,0,2,3,1,0,0,0
,42,0,39,0,0,2,0,30,0,12,0,2,3,1,0,0,0
,5,0,2,1,0,1,0,10,0,1,0,1,0,0,0,0,0
,5,0,2,1,0,1,0,10,0,1,0,1,0,0,0,0,0
,3,0,3,0,0,2,0,22,0,0,0,0,0,0,0,0,0
,3,0,3,0,0,2,0,22,0,0,0,0,0,0,0,0,0
,28,0,24,0,0,2,0,30,0,6,0,1,1,0,0,0,0
,28,0,24,0,0,2,0,30,0,6,0,1,1,0,0,0,0
,36,0,27,0,0,2,0,30,0,4,0,6,0,1,0,0,0
,36,0,27,0,0,2,0,30,0,4,0,6,0,1,0,0,0
,6,0,1,0,0,1,0,12,0,6,0,0,1,0,0,0,0
,6,0,1,0,0,1,0,12,0,6,0,0,1,0,0,0,0
,24,0,6,0,0,2,0,22,0,18,0,6,0,0,0,0,0
,24,0,6,0,0,2,0,22,0,18,0,6,0,0,0,0,0
,32,0,9,2,0,1,0,20,0,25,0,2,0,0,0,0,0
,32,0,9,2,0,1,0,20,0,25,0,2,0,0,0,0,0
,39,0,14,0,0,1,0,10,0,51,0,12,2,0,0,0,0
,39,0,14,0,0,1,0,10,0,51,0,12,2,0,0,0,0
,26,0,7,0,0,1,0,12,0,20,0,0,0,0,0,0,0
,26,0,7,0,0,1,0,12,0,20,0,0,0,0,0,0,0
,17,0,3,0,0,1,0,22,0,21,0,0,1,0,0,0,0
,17,0,3,0,0,1,0,22,0,21,0,0,1,0,0,0,0
,6,0,1,0,0,1,0,20,0,11,0,0,2,0,0,0,0
,6,0,1,0,0,1,0,20,0,11,0,0,2,0,0,0,0
,30,0,7,0,0,1,0,20,0,30,1,5,6,0,0,0,0
,30,0,7,0,0,1,0,20,0,30,1,5,6,0,0,0,0
,2,0,2,0,0,1,0,11,0,0,0,0,0,0,0,0,0
,2,0,2,0,0,1,0,11,0,0,0,0,0,0,0,0,0
,11,0,7,0,0,2,0,30,0,1,0,0,0,0,0,0,0
,11,0,7,0,0,2,0,30,0,1,0,0,0,0,0,0,0
